query	target	evalue	prob	TP/FP(SF)
d2wkja_/c.1.10	d1k77a_/c.1.15	0.000603	0.999	FP
d2wkja_/c.1.10	d1q45a_/c.1.4	0.00104	0.999	FP
d2wkja_/c.1.10	d1muca1/c.1.11	0.00221	0.999	FP
d2wkja_/c.1.10	d1ec7a1/c.1.11	0.00136	0.999	FP
d2wkja_/c.1.10	d3gdla_/c.1.2	0.00136	0.999	FP
d2wkja_/c.1.10	d1b5ta_/c.1.23	0.000672	0.999	FP
d2wkja_/c.1.10	d1kbia1/c.1.4	0.000204	0.999	FP
d2wkja_/c.1.10	d2gdqa1/c.1.11	0.0183	0.949	FP
d2wkja_/c.1.10	d1jnda1/c.1.8	0.00233	0.949	FP
d2wkja_/c.1.10	d2aama1/c.1.8	0.00811	0.900	FP
d2wkja_/c.1.10	d1vf8a1/c.1.8	0.0106	0.900	FP
d2y71a_/c.23.13	d8abpa_/c.93.1	0.0865	0.900	FP
d2z6oa_/d.20.1	d1zdna1/d.20.1	0.0106	0.900	TP
d2zgya2/c.55.1	d2ewsa1/c.55.1	0.000708	0.999	TP
d2zgya2/c.55.1	d3bexa2/c.55.1	0.000246	0.999	TP
d2zgya2/c.55.1	d2hoea2/c.55.1	0.00217	0.949	TP
d2zgya2/c.55.1	d2aa4a1/c.55.1	0.0116	0.900	TP
d1h3fa2/d.66.1	d1vioa2/d.66.1	0.003	0.999	TP
d1hu3a_/a.118.1	d1h6ka1/a.118.1	0.0436	0.999	TP
d1ueba2/b.40.4	d2ba0a1/b.40.4	0.13	0.900	TP
d1ujva_/b.36.1	d1y7na1/b.36.1	0.00892	0.999	TP
d1ujva_/b.36.1	d1n7ea_/b.36.1	0.0214	0.999	TP
d1ujva_/b.36.1	d3cs0a1/b.36.1	0.0255	0.900	TP
d1utca2/b.69.6	d1flga_/b.70.1	0.000117	0.999	FP
d1utca2/b.69.6	d1k32a2/b.68.7	0.000387	0.999	FP
d1utca2/b.69.6	d1tl2a_/b.67.1	0.0271	0.949	FP
d1utca2/b.69.6	d1nsca_/b.68.1	0.00617	0.949	FP
d1uypa2/b.67.2	d1w0pa3/b.68.1	0.000448	0.999	FP
d1uypa2/b.67.2	d1zgka1/b.68.11	0.000448	0.999	FP
d1uypa2/b.67.2	d2hu7a1/b.69.7	0.00794	0.949	FP
d1uypa2/b.67.2	d1s1da_/b.67.3	0.00541	0.900	FP
d1uypa2/b.67.2	d1usra_/b.68.1	0.0197	0.900	FP
d1v59a2/c.3.1	d1lqta1/c.3.1	0.00192	0.999	TP
d1v59a2/c.3.1	d1rp0a1/c.3.1	0.0134	0.999	TP
d1v59a2/c.3.1	d1lvla1/c.3.1	0.0314	0.949	TP
d1v59a2/c.3.1	d1f0ya2/c.2.1	0.0261	0.900	FP
d1v59a2/c.3.1	d1i8ta1/c.4.1	0.127	0.900	FP
d1g6oa_/c.37.1	d1in4a2/c.37.1	0.00822	0.900	TP
d1g6oa_/c.37.1	d1ny5a2/c.37.1	0.00423	0.900	TP
d1gm5a2/b.40.4	d2b3ga_/b.40.4	0.0183	0.949	TP
d1gm5a2/b.40.4	d1xjva1/b.40.4	0.0109	0.900	TP
d1gvda_/a.4.1	d1x41a1/a.4.1	0.189	0.949	TP
d1gvda_/a.4.1	d1ofcx1/a.4.1	0.0916	0.900	TP
d1gz6a_/c.2.1	d2fr1a2/c.2.1	0.000141	0.999	TP
d1gz6a_/c.2.1	d2dm6a2/c.2.1	0.00197	0.999	TP
d1gz6a_/c.2.1	d2bkaa1/c.2.1	0.00015	0.999	TP
d1gz6a_/c.2.1	d1t2da1/c.2.1	0.00671	0.900	TP
d1mdca_/b.60.1	d1bj7a_/b.60.1	0.0522	0.900	TP
d1n1ja_/a.22.1	d1f1ea_/a.22.1	0.0374	0.999	TP
d1cexa_/c.69.1	d2h1ia1/c.69.1	0.0122	0.900	TP
d1cnva_/c.1.8	d3lg3a_/c.1.12	0.00019	0.999	FP
d1cnva_/c.1.8	d2czda_/c.1.2	0.00688	0.949	FP
d1cnva_/c.1.8	d1q6oa_/c.1.2	0.0148	0.949	FP
d1cnva_/c.1.8	d3emca_/c.1.8	0.00339	0.949	TP
d1cnva_/c.1.8	d1qnra_/c.1.8	0.00158	0.949	TP
d1cnva_/c.1.8	d3blda_/c.1.20	0.00253	0.949	FP
d1cnva_/c.1.8	d1nowa1/c.1.8	0.00544	0.949	TP
d1cnva_/c.1.8	d1r85a_/c.1.8	0.00268	0.949	TP
d1cnva_/c.1.8	d1d8wa_/c.1.15	0.000486	0.949	FP
d1cnva_/c.1.8	d1qopa_/c.1.2	0.00225	0.900	FP
d1cnva_/c.1.8	d2zdra2/c.1.10	0.0104	0.900	FP
d1cnva_/c.1.8	d2cyga1/c.1.8	0.0132	0.900	TP
d1cnva_/c.1.8	d1w32a_/c.1.8	0.00577	0.900	TP
d1d3ga_/c.1.4	d1xi3a_/c.1.3	0.000481	0.999	FP
d1d3ga_/c.1.4	d1tqja_/c.1.2	0.000402	0.999	FP
d1d3ga_/c.1.4	d2f6ua1/c.1.4	8.42e-05	0.999	TP
d1d3ga_/c.1.4	d1rd5a_/c.1.2	0.000145	0.999	FP
d1d3ga_/c.1.4	d1yxya1/c.1.2	0.00203	0.949	FP
d1d3ga_/c.1.4	d1nara_/c.1.8	0.00151	0.949	FP
d1d3ga_/c.1.4	d1nvma2/c.1.10	0.00371	0.949	FP
d1d3ga_/c.1.4	d1edta_/c.1.8	0.00349	0.900	FP
d1d3ga_/c.1.4	d1izca_/c.1.12	0.00394	0.900	FP
d1d3ga_/c.1.4	d3lg3a_/c.1.12	0.00216	0.900	FP
d1izca_/c.1.12	d3ctla_/c.1.2	0.000419	0.999	FP
d1izca_/c.1.12	d3igsa_/c.1.2	0.00024	0.999	FP
d1izca_/c.1.12	d1p1xa_/c.1.10	0.000271	0.999	FP
d1izca_/c.1.12	d3daqa_/c.1.10	0.000121	0.999	FP
d1izca_/c.1.12	d3sj3a_/c.1.2	0.0105	0.949	FP
d1izca_/c.1.12	d1ujpa_/c.1.2	0.00253	0.949	FP
d1izca_/c.1.12	d2zdra2/c.1.10	0.00602	0.949	FP
d1izca_/c.1.12	d2wkja_/c.1.10	0.00154	0.949	FP
d1izca_/c.1.12	d1rhca_/c.1.16	0.0012	0.949	FP
d1izca_/c.1.12	d1djqa1/c.1.4	0.00253	0.949	FP
d1izca_/c.1.12	d1h1na_/c.1.8	0.00223	0.900	FP
d1izca_/c.1.12	d1qnra_/c.1.8	0.00771	0.900	FP
d1izca_/c.1.12	d1p4ca_/c.1.4	0.00286	0.900	FP
d1jjcb4/d.58.13	d1ftra1/d.58.33	0.0128	0.949	FP
d1jjcb4/d.58.13	d1zpva1/d.58.18	0.0511	0.900	FP
d1jjcb4/d.58.13	d1ysja2/d.58.19	0.0195	0.900	FP
d1jjcb4/d.58.13	d2a10a1/d.58.56	0.028	0.900	FP
d1jjcb4/d.58.13	d4affa_/d.58.5	0.0136	0.900	FP
d1jmva_/c.26.2	d1q77a_/c.26.2	0.000395	0.999	TP
d1jmva_/c.26.2	d1wy5a1/c.26.2	0.0107	0.900	TP
d1jmva_/c.26.2	d1gy8a_/c.2.1	0.0024	0.900	FP
d1wa5c_/a.118.1	d1xqra1/a.118.1	0.0751	0.999	TP
d1wfoa1/b.1.2	d1cd9b1/b.1.2	0.0418	0.999	TP
d1wfoa1/b.1.2	d1f6fb1/b.1.2	0.0396	0.949	TP
d1wfoa1/b.1.2	d2qfra1/b.1.12	0.0376	0.949	FP
d1wfoa1/b.1.2	d1l0qa1/b.1.3	0.119	0.900	FP
d1wfoa1/b.1.2	d1l9na2/b.1.5	0.119	0.900	FP
d1whqa_/d.50.1	d1x47a1/d.50.1	0.00624	0.999	TP
d1whqa_/d.50.1	d1whna_/d.50.1	0.000596	0.999	TP
d1wjna_/d.15.1	d1wmhb_/d.15.2	0.00369	0.999	FP
d1wjna_/d.15.1	d2faza1/d.15.1	0.00172	0.999	TP
d1wjna_/d.15.1	d1wfya_/d.15.1	0.000624	0.999	TP
d1wjna_/d.15.1	d1ryja_/d.15.3	0.0181	0.949	FP
d1wjna_/d.15.1	d3d32a_/d.15.1	0.0149	0.949	TP
d1wjna_/d.15.1	d2cs4a1/d.15.1	0.0341	0.900	TP
d1clca1/a.102.1	d1nxca_/a.102.2	0.012	0.900	FP
d1czan2/c.55.1	d2ch5a1/c.55.1	0.00185	0.999	TP
d1czan2/c.55.1	d1sz2a1/c.55.1	0.0244	0.900	TP
d1d7ya3/d.87.1	d1ojta3/d.87.1	0.0499	0.949	TP
d1ddla_/b.121.4	d3rqva_/b.121.7	0.000488	0.999	FP
d1ddla_/b.121.4	d1b35b_/b.121.4	0.000131	0.999	TP
d1ddla_/b.121.4	d1ihma_/b.121.4	0.000192	0.999	TP
d1ddla_/b.121.4	d1b35a_/b.121.4	0.000371	0.900	TP
d1dkia_/d.3.1	d2bu3a1/d.3.1	0.00575	0.900	TP
d1dova_/a.24.9	d1st6a7/a.24.9	0.0556	0.999	TP
d1qmea4/e.3.1	d3beca2/e.3.1	0.000192	0.999	TP
d1qmea4/e.3.1	d1ei5a3/e.3.1	8.64e-05	0.999	TP
d1qmea4/e.3.1	d1es5a_/e.3.1	0.00106	0.949	TP
d1qr4a2/b.1.2	d1bqua1/b.1.2	0.00996	0.999	TP
d1qr4a2/b.1.2	d1b4ra_/b.1.3	0.197	0.900	FP
d1qr4a2/b.1.2	d3es6b1/b.1.18	0.111	0.900	FP
d1qr4a2/b.1.2	d1ji1a1/b.1.18	0.197	0.900	FP
d1quba3/g.18.1	d1elva2/g.18.1	0.0546	0.999	TP
d1r5aa1/a.45.1	d1aw9a1/a.45.1	0.0206	0.999	TP
d1zupa1/c.55.3	d1yvua2/c.55.3	0.000805	0.949	TP
d2a2pa1/c.47.1	d2a4ha1/c.47.1	0.00104	0.999	TP
d2ah2a1/b.29.1	d1dhkb_/b.29.1	0.000161	0.999	TP
d2ah2a1/b.29.1	d2fbea1/b.29.1	0.00607	0.900	TP
d2asfa1/b.45.1	d1ejea_/b.45.1	0.00722	0.999	TP
d2asfa1/b.45.1	d2a2ja1/b.45.1	0.00855	0.999	TP
d2asfa1/b.45.1	d2ptfa1/b.45.1	0.0296	0.949	TP
d1yk3a1/d.108.1	d1i12a_/d.108.1	0.000417	0.999	TP
d1yk3a1/d.108.1	d1z4ea1/d.108.1	0.00333	0.999	TP
d1yk3a1/d.108.1	d2fl4a1/d.108.1	0.0017	0.999	TP
d1yrra2/c.1.9	d1gkra2/c.1.9	0.000409	0.999	TP
d1yrra2/c.1.9	d2gwga1/c.1.9	0.000343	0.999	TP
d1yrra2/c.1.9	d1ra0a2/c.1.9	0.000272	0.999	TP
d1yrra2/c.1.9	d1kkoa1/c.1.11	0.00532	0.949	FP
d1yrra2/c.1.9	d1zzma1/c.1.9	0.0114	0.949	TP
d1yrra2/c.1.9	d1muca1/c.1.11	0.0181	0.900	FP
d1yrra2/c.1.9	d1p0ka_/c.1.4	0.0101	0.900	FP
d1z05a1/a.4.5	d1t6sa2/a.4.5	0.00869	0.999	TP
d1z05a1/a.4.5	d1on2a1/a.4.5	0.0496	0.949	TP
d1z05a1/a.4.5	d1dpua_/a.4.5	0.111	0.949	TP
d1z05a1/a.4.5	d1biaa1/a.4.5	0.0968	0.900	TP
d1z05a1/a.4.5	d3hhha_/a.4.5	0.165	0.900	TP
d1z05a1/a.4.5	d3df8a_/a.4.5	0.0741	0.900	TP
d1z2aa_/c.37.1	d2dy1a2/c.37.1	0.000175	0.999	TP
d1z2aa_/c.37.1	d1oi7a2/c.23.4	0.0097	0.900	FP
d2guya2/c.1.8	d1kfwa1/c.1.8	8.1e-06	0.999	TP
d2guya2/c.1.8	d1xi3a_/c.1.3	0.000294	0.999	FP
d2guya2/c.1.8	d2aama1/c.1.8	5.5e-05	0.999	TP
d2guya2/c.1.8	d1vlia2/c.1.10	7.41e-05	0.999	FP
d2guya2/c.1.8	d3atya_/c.1.4	2.11e-05	0.999	FP
d2guya2/c.1.8	d1i4na_/c.1.2	2.24e-05	0.999	FP
d2guya2/c.1.8	d1a0ca_/c.1.15	0.000602	0.949	FP
d2guya2/c.1.8	d1yx1a1/c.1.15	0.0011	0.900	FP
d2guya2/c.1.8	d2i5ia1/c.6.2	0.00042	0.900	FP
d2guya2/c.1.8	d1b5ta_/c.1.23	0.000534	0.900	FP
d2guya2/c.1.8	d2zdra2/c.1.10	0.000218	0.900	FP
d2guya2/c.1.8	d3l5la_/c.1.4	0.00042	0.900	FP
d2guya2/c.1.8	d3n9ka_/c.1.8	0.000639	0.900	TP
d2hr3a1/a.4.5	d3l7wa_/a.4.5	0.0104	0.999	TP
d2hr3a1/a.4.5	d1z91a1/a.4.5	0.00219	0.999	TP
d2hr3a1/a.4.5	d2bv6a1/a.4.5	0.00114	0.999	TP
d2hr3a1/a.4.5	d2esna1/a.4.5	0.0316	0.949	TP
d2hr3a1/a.4.5	d1hw1a1/a.4.5	0.0691	0.900	TP
d2hr3a1/a.4.5	d3bz6a2/a.4.5	0.0957	0.900	TP
d2hzta1/a.4.5	d3broa1/a.4.5	0.0806	0.949	TP
d2hzta1/a.4.5	d2frha_/a.4.5	0.0806	0.900	TP
d2hzta1/a.4.5	d1jgsa_/a.4.5	0.22	0.900	TP
d2fzva1/c.23.5	d1ykga1/c.23.5	0.000839	0.999	TP
d2fzva1/c.23.5	d1puia_/c.37.1	0.0084	0.900	FP
d2fzva1/c.23.5	d2iwra_/c.37.1	0.007	0.900	FP
d2gdza1/c.2.1	d2cmda1/c.2.1	0.015	0.900	TP
d2gdza1/c.2.1	d2ex4a1/c.66.1	0.0506	0.900	FP
d2gw6a1/c.52.2	d1a79a1/c.52.2	0.00122	0.999	TP
d2h2za_/b.47.1	d3govb_/b.47.1	0.000676	0.999	TP
d2h2za_/b.47.1	d1arba_/b.47.1	0.000956	0.999	TP
d2h2za_/b.47.1	d1gdna_/b.47.1	0.000106	0.999	TP
d2h2za_/b.47.1	d1m9ua_/b.47.1	0.000268	0.999	TP
d2h2za_/b.47.1	d1q3xa1/b.47.1	0.00143	0.949	TP
d2huec_/a.22.1	d1jfib_/a.22.1	0.0159	0.999	TP
d2huec_/a.22.1	d1n1jb_/a.22.1	0.0171	0.999	TP
d2joqa1/d.58.54	d2bj7a2/d.58.18	0.00993	0.999	FP
